coefficients,i_close_1,i_close_2,i_close_3
alpha_0,-8473.369981980091,0.0,0.0
alpha_1,-1.0,0.0,0.0
alpha_2,-1.0,0.0,0.0
score_0,-62775.603769468784,0.0,0.0
rate_spread,-987.6442229284651,0.0,0.0
i_large_loan,-2343.5672481997185,0.0,0.0
i_medium_loan,-3749.5794863137817,0.0,0.0
i_refinance,-3427.2608117768823,0.0,0.0
age_r,-4069.251777054944,0.0,0.0
cltv,-6854.7928756489255,0.0,0.0
dti,-3164.9025924474668,0.0,0.0
cu,-16561.850636430747,0.0,0.0
first_mort_r,-15171.436233674889,0.0,0.0
i_FHA,-3612.178736356059,0.0,0.0
i_open_year2,-1744.516149479181,0.0,0.0
i_open_year3,-1784.9922300518183,0.0,0.0
i_open_year4,-1773.5879431211956,0.0,0.0
i_open_year5,-1526.3962852485815,0.0,0.0
score_0,-62775.30376946878,0.0,0.0
score_1,-62312.91487451322,0.0,0.0
score_2,-62798.83272081951,0.0,0.0
rho,225466.04172643655,0.0,0.0
